systematic	common	init_type	n_symbols_in_scf	human_symbols_used	sources
YNL094W	APP1	random	0		
YNL095C		random	0		
YNL096C	RPS7B	ortholog	1	RPS7	InParanoid,OMA
YNL097C	PHO23	random	0		
YNL097C-B	PLS1	random	0		
YNL097W-A		random	0		
YNL098C	RAS2	ortholog	2	RRAS,RRAS2	InParanoid
YNL099C	OCA1	random	0		
YNL100W	MIC27	random	0		
YNL101W	AVT4	ortholog	4	SLC36A1,SLC36A2,SLC36A3,SLC36A4	InParanoid
YNL102W	POL1	ortholog	1	POLA1	InParanoid,OMA
YNL103W	MET4	random	0		
YNL103W-A		random	0		
YNL104C	LEU4	random	0		
YNL105W	RRT16	random	0		
YNL106C	INP52	ortholog	2	SYNJ1,SYNJ2	InParanoid
YNL107W	YAF9	ortholog	1	YEATS4	InParanoid,OMA
YNL108C		random	0		
YNL109W		random	0		
YNL110C	NOP15	ortholog	1	NIFK	InParanoid
YNL111C	CYB5	ortholog	2	CYB5A,CYB5B	InParanoid
YNL112W	DBP2	ortholog	2	DDX17,DDX5	InParanoid,OMA
YNL113W	RPC19	ortholog	1	POLR1D	InParanoid,OMA
YNL114C		random	0		
YNL115C		random	0		
YNL116W	DMA2	random	0		
YNL117W	MLS1	random	0		
YNL118C	DCP2	random	0		
YNL119W	NCS2	random	0		
YNL120C		random	0		
YNL121C	TOM70	ortholog	1	TOMM70	InParanoid,OMA
YNL122C	MRP35	random	0		
YNL123W	NMA111	random	0		
YNL124W	NAF1	ortholog	1	NAF1	InParanoid,OMA
YNL125C	ESBP6	ortholog	14	SLC16A1,SLC16A10,SLC16A11,SLC16A12,SLC16A13,SLC16A14,SLC16A2,SLC16A3,SLC16A4,SLC16A5,SLC16A6,SLC16A7,SLC16A8,SLC16A9	InParanoid,OMA
YNL126W	SPC98	random	0		
YNL127W	FAR11	random	0		
YNL128W	TEP1	random	0		
YNL129W	NRK1	ortholog	2	NMRK1,NMRK2	InParanoid,OMA
YNL130C	CPT1	ortholog	1	SELENOI	InParanoid
YNL130C-A	DGR1	random	0		
YNL131W	TOM22	random	0		
YNL132W	KRE33	ortholog	1	NAT10	InParanoid,OMA
YNL133C	FYV6	random	0		
YNL134C		random	0		
YNL135C	FPR1	ortholog	2	FKBP1A,FKBP1B	InParanoid,OMA
YNL136W	EAF7	random	0		
YNL137C	NAM9	random	0		
YNL138W	SRV2	ortholog	2	CAP1,CAP2	InParanoid,OMA
YNL138W-A	YSF3	random	0		
YNL139C	THO2	ortholog	1	THOC2	InParanoid
YNL140C		random	0		
YNL141W	AAH1	ortholog	1	ADA	InParanoid,OMA
YNL142W	MEP2	ortholog	5	RHAG,RHBG,RHCE,RHCG,RHD	InParanoid
YNL143C		random	0		
YNL144C		random	0		
YNL144W-A		random	0		
YNL145W	MFA2	random	0		
YNL146C-A		random	0		
YNL146W		random	0		
YNL147W	LSM7	ortholog	1	LSM7	InParanoid,OMA
YNL148C	ALF1	ortholog	1	TBCB	InParanoid
YNL149C	PGA2	random	0		
YNL150W		random	0		
YNL151C	RPC31	random	0		
YNL152W	INN1	random	0		
YNL153C	GIM3	ortholog	1	PFDN4	InParanoid,OMA
YNL154C	YCK2	ortholog	3	CSNK1G1,CSNK1G2,CSNK1G3	InParanoid,OrthoDB
YNL155C-A		random	0		
YNL155W	CUZ1	ortholog	1	ZFAND1	InParanoid,OMA
YNL156C	NSG2	random	0		
YNL157W	IGO1	random	0		
YNL158W	PGA1	random	0		
YNL159C	ASI2	random	0		
YNL160W	YGP1	random	0		
YNL161W	CBK1	ortholog	2	STK38,STK38L	InParanoid
YNL162W	RPL42A	ortholog	2	RPL36A,RPL36AL	InParanoid,OMA
YNL162W-A		random	0		
YNL163C	RIA1	ortholog	1	EFL1	InParanoid,OMA
YNL164C	IBD2	random	0		
YNL165W		random	0		
YNL166C	BNI5	random	0		
YNL167C	SKO1	random	0		
YNL168C	FMP41	ortholog	1	FAHD1	InParanoid,OMA
YNL169C	PSD1	ortholog	1	PISD	InParanoid
YNL170W		random	0		
YNL171C		random	0		
YNL172W	APC1	random	0		
YNL173C	MDG1	random	0		
YNL174W		random	0		
YNL175C	NOP13	ortholog	10	DAZAP1,HNRNPA0,HNRNPA1,HNRNPA1L2,HNRNPA2B1,HNRNPA3,HNRNPAB,HNRNPD,HNRNPDL,MSI2	InParanoid
YNL176C	TDA7	random	0		
YNL177C	MRPL22	random	0		
YNL178W	RPS3	ortholog	1	RPS3	InParanoid
YNL179C		random	0		
YNL180C	RHO5	random	0		
YNL181W	PBR1	ortholog	2	RDH13,RDH14	OMA
YNL182C	IPI3	ortholog	1	WDR18	InParanoid
YNL183C	NPR1	random	0		
YNL184C		random	0		
YNL185C	MRPL19	ortholog	1	MRPL11	InParanoid,OMA
YNL186W	UBP10	random	0		
YNL187W	SWT21	random	0		
YNL188W	KAR1	random	0		
YNL189W	SRP1	ortholog	6	KPNA1,KPNA2,KPNA3,KPNA4,KPNA5,KPNA6	InParanoid,OMA
YNL190W		random	0		
YNL191W	DUG3	random	0		
YNL192W	CHS1	random	0		
YNL193W		random	0		
YNL194C		random	0		
YNL195C		random	0		
YNL196C	SLZ1	random	0		
YNL197C	WHI3	random	0		
YNL198C		random	0		
YNL199C	GCR2	random	0		
YNL200C	NNR1	ortholog	2	NAXE,YJEFN3	InParanoid,OMA
YNL201C	PSY2	ortholog	3	PPP4R3A,PPP4R3B,PPP4R3C	InParanoid,OMA
YNL202W	SPS19	ortholog	1	DECR2	InParanoid,OMA
YNL203C		random	0		
YNL204C	SPS18	ortholog	2	ARFGAP3,SMAP2	OrthoDB
YNL205C		random	0		
YNL206C	RTT106	random	0		
YNL207W	RIO2	ortholog	1	RIOK2	InParanoid
YNL208W		random	0		
YNL209W	SSB2	random	0		
YNL210W	MER1	random	0		
YNL211C	MRX7	random	0		
YNL212W	VID27	random	0		
YNL213C	RRG9	random	0		
YNL214W	PEX17	random	0		
YNL215W	IES2	random	0		
YNL216W	RAP1	random	0		
YNL217W	PPN2	random	0		
YNL218W	MGS1	ortholog	1	WRNIP1	InParanoid,OMA
YNL219C	ALG9	ortholog	1	ALG9	InParanoid
YNL220W	ADE12	ortholog	2	ADSS1,ADSS2	InParanoid,OMA
YNL221C	POP1	random	0		
YNL222W	SSU72	ortholog	1	SSU72	InParanoid,OMA
YNL223W	ATG4	ortholog	4	ATG4A,ATG4B,ATG4C,ATG4D	InParanoid,OMA
YNL224C	SQS1	random	0		
YNL225C	CNM67	random	0		
YNL226W		random	0		
YNL227C	JJJ1	ortholog	1	DNAJC21	InParanoid,OMA
YNL228W		random	0		
YNL229C	URE2	random	0		
YNL230C	ELA1	random	0		
YNL231C	PDR16	random	0		
YNL232W	CSL4	random	0		
YNL233W	BNI4	random	0		
YNL234W		random	0		
YNL235C		random	0		
YNL236W	SIN4	random	0		
YNL237W	YTP1	random	0		
YNL238W	KEX2	ortholog	2	PCSK6,PCSK7	InParanoid
YNL239W	LAP3	ortholog	1	BLMH	InParanoid,OMA
YNL240C	NAR1	ortholog	2	CIAO3,NARF	InParanoid,OMA
YNL241C	ZWF1	ortholog	1	G6PD	InParanoid,OMA
YNL242W	ATG2	random	0		
YNL243W	SLA2	ortholog	2	HIP1,HIP1R	InParanoid,OMA
YNL244C	SUI1	ortholog	2	EIF1,EIF1B	InParanoid,OMA
YNL245C	CWC25	random	0		
YNL246W	VPS75	ortholog	10	SET,SETSIP,TSPY1,TSPY10,TSPY2,TSPY3,TSPY4,TSPY8,TSPY9,TSPYL5	InParanoid
YNL247W		ortholog	1	CARS1	InParanoid
YNL248C	RPA49	ortholog	1	POLR1E	InParanoid,OMA
YNL249C	MPA43	random	0		
YNL250W	RAD50	ortholog	1	RAD50	InParanoid,OMA
YNL251C	NRD1	random	0		
YNL252C	MRPL17	ortholog	1	MRPL46	InParanoid
YNL253W	TEX1	ortholog	1	THOC3	InParanoid,OMA
YNL254C	RTC4	random	0		
YNL255C	GIS2	ortholog	2	CNBP,ZCCHC13	OMA
YNL256W	FOL1	random	0		
YNL257C	SIP3	random	0		
YNL258C	DSL1	ortholog	4	STRN,STRN3,STRN4,WDR12	OrthoDB
YNL259C	ATX1	ortholog	1	ATOX1	InParanoid
YNL260C	LTO1	random	0		
YNL261W	ORC5	ortholog	1	ORC5	InParanoid,OMA
YNL262W	POL2	ortholog	1	POLE	InParanoid,OMA
YNL263C	YIF1	ortholog	2	YIF1A,YIF1B	InParanoid,OMA
YNL264C	PDR17	random	0		
YNL265C	IST1	ortholog	1	IST1	InParanoid
YNL266W		random	0		
YNL267W	PIK1	ortholog	1	PI4KB	InParanoid
YNL268W	LYP1	ortholog	2	SLC7A14,SLC7A4	InParanoid
YNL269W	BSC4	random	0		
YNL270C	ALP1	ortholog	2	SLC7A14,SLC7A4	InParanoid
YNL271C	BNI1	ortholog	5	DAAM1,DAAM2,DIAPH1,DIAPH2,DIAPH3	InParanoid
YNL272C	SEC2	random	0		
YNL273W	TOF1	random	0		
YNL274C	GOR1	ortholog	1	GRHPR	InParanoid,OMA
YNL275W	BOR1	ortholog	9	SLC4A1,SLC4A10,SLC4A2,SLC4A3,SLC4A4,SLC4A5,SLC4A7,SLC4A8,SLC4A9	InParanoid
YNL276C		random	0		
YNL277W	MET2	random	0		
YNL277W-A		random	0		
YNL278W	CAF120	random	0		
YNL279W	PRM1	random	0		
YNL280C	ERG24	ortholog	2	LBR,TM7SF2	InParanoid,OMA
YNL281W	HCH1	random	0		
YNL282W	POP3	random	0		
YNL283C	WSC2	random	0		
YNL284C	MRPL10	ortholog	1	MRPL15	InParanoid,OMA
YNL284C-A	TY1A-NL1	random	0		
YNL284C-B	TY1B-NL1	random	0		
YNL285W		random	0		
YNL286W	CUS2	random	0		
YNL287W	SEC21	ortholog	2	COPG1,COPG2	InParanoid,OMA
YNL288W	CAF40	ortholog	1	CNOT9	InParanoid
YNL289W	PCL1	random	0		
YNL290W	RFC3	ortholog	1	RFC5	InParanoid,OMA
YNL291C	MID1	random	0		
YNL292W	PUS4	ortholog	1	TRUB1	InParanoid
YNL293W	MSB3	ortholog	1	GRTP1	InParanoid
YNL294C	RIM21	random	0		
YNL295W	MRX6	random	0		
YNL296W		random	0		
YNL297C	MON2	ortholog	1	MON2	InParanoid,OMA
YNL298W	CLA4	random	0		OrthoDB
YNL299W	TRF5	ortholog	2	TENT4A,TENT4B	InParanoid
YNL300W	TOS6	random	0		
YNL301C	RPL18B	ortholog	1	RPL18	InParanoid,OMA
YNL302C	RPS19B	ortholog	1	RPS19	InParanoid,OMA
YNL303W		random	0		
YNL304W	YPT11	random	0		
YNL305C	BXI1	ortholog	4	FAIM2,GRINA,TMBIM1,TMBIM4	InParanoid,OMA,OrthoDB
YNL306W	MRPS18	random	0		
YNL307C	MCK1	ortholog	1	GSK3A	OMA
YNL308C	KRI1	ortholog	1	KRI1	InParanoid,OMA
YNL309W	STB1	random	0		
YNL310C	ZIM17	random	0		
YNL311C	SKP2	random	0		
YNL312W	RFA2	ortholog	2	RPA2,RPA4	InParanoid,OMA
YNL313C	EMW1	ortholog	1	TTC27	InParanoid,OMA
YNL314W	DAL82	random	0		
YNL315C	ATP11	random	0		
YNL316C	PHA2	random	0		
YNL317W	PFS2	random	0		
YNL318C	HXT14	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YNL319W		random	0		
YNL320W		ortholog	1	ABHD13	InParanoid,OMA
YNL321W	VNX1	random	0		
YNL322C	KRE1	random	0		
YNL323W	LEM3	ortholog	2	TMEM30A,TMEM30B	InParanoid
YNL324W		random	0		
YNL325C	FIG4	ortholog	1	FIG4	InParanoid,OMA
YNL326C	PFA3	ortholog	3	ZDHHC15,ZDHHC2,ZDHHC20	InParanoid
YNL327W	EGT2	random	0		
YNL328C	MDJ2	random	0		
YNL329C	PEX6	ortholog	1	PEX6	InParanoid
YNL330C	RPD3	ortholog	2	HDAC1,HDAC2	InParanoid,OMA
YNL331C	AAD14	ortholog	5	AKR7A2,AKR7A3,AKR7L,KCNAB2,KCNAB3	InParanoid,OMA
YNL332W	THI12	random	0		
YNL333W	SNZ2	random	0		
YNL334C	SNO2	random	0		
YNL335W	DDI3	random	0		
YNL336W	COS1	random	0		
YNL337W		random	0		
YNL338W		random	0		
YNL339C	YRF1-6	random	0		
YNL339W-A		random	0		
YNL339W-B		random	0		
YNR001C	CIT1	ortholog	1	CS	InParanoid,OMA
YNR001W-A		random	0		
YNR002C	ATO2	random	0		
YNR003C	RPC34	ortholog	1	POLR3F	InParanoid,OMA
YNR003W-A		random	0		
YNR004W	SWM2	random	0		
YNR005C		random	0		
YNR006W	VPS27	random	0		
YNR007C	ATG3	ortholog	1	ATG3	InParanoid,OMA
YNR008W	LRO1	ortholog	2	LCAT,PLA2G15	InParanoid
YNR009W	NRM1	random	0		
YNR010W	CSE2	random	0		
YNR011C	PRP2	ortholog	8	DHX16,DHX33,DHX34,DHX35,DHX38,DHX40,DHX8,DQX1	OrthoDB
YNR012W	URK1	ortholog	1	UCKL1	InParanoid,OMA
YNR013C	PHO91	ortholog	5	SLC13A1,SLC13A2,SLC13A3,SLC13A4,SLC13A5	InParanoid
YNR014W		random	0		
YNR015W	SMM1	ortholog	1	DUS2	InParanoid
YNR016C	ACC1	ortholog	2	ACACA,ACACB	InParanoid
YNR017W	TIM23	ortholog	2	TIMM23,TIMM23B	InParanoid,OMA
YNR018W	RCF2	random	0		
YNR019W	ARE2	ortholog	2	SOAT1,SOAT2	InParanoid
YNR020C	ATP23	ortholog	1	ATP23	InParanoid
YNR021W		random	0		
YNR022C	MRPL50	random	0		
YNR023W	SNF12	ortholog	3	SMARCD1,SMARCD2,SMARCD3	InParanoid,OMA
YNR024W	MPP6	random	0		
YNR025C		random	0		
YNR026C	SEC12	random	0		
YNR027W	BUD17	ortholog	1	PDXK	OMA
YNR028W	CPR8	random	0		
YNR029C	ZNG1	random	0		InParanoid,OMA
YNR030W	ALG12	ortholog	1	ALG12	InParanoid,OMA
YNR031C	SSK2	random	0		
YNR032C-A	HUB1	ortholog	1	UBL5	InParanoid,OMA
YNR032W	PPG1	ortholog	2	PPP4C,PPP6C	OMA,OrthoDB
YNR033W	ABZ1	random	0		
YNR034W	SOL1	ortholog	1	PGLS	OMA
YNR034W-A		random	0		
YNR035C	ARC35	ortholog	1	ARPC2	InParanoid,OMA
YNR036C	MRPS12	ortholog	1	MRPS12	InParanoid,OMA
YNR037C	RSM19	random	0		
YNR038W	DBP6	ortholog	1	DDX51	InParanoid
YNR039C	ZRG17	random	0		
YNR040W		random	0		
YNR041C	COQ2	ortholog	1	COQ2	InParanoid,OMA
YNR042W		random	0		
YNR043W	MVD1	ortholog	1	MVD	InParanoid,OMA
YNR044W	AGA1	random	0		
YNR045W	PET494	random	0		
YNR046W	TRM112	ortholog	1	TRMT112	InParanoid,OMA
YNR047W	FPK1	random	0		OMA
YNR048W		ortholog	2	TMEM30A,TMEM30B	InParanoid,OMA
YNR049C	MSO1	random	0		
YNR050C	LYS9	random	0		
YNR051C	BRE5	random	0		
YNR052C	POP2	ortholog	2	CNOT7,CNOT8	InParanoid
YNR053C	NOG2	ortholog	1	GNL2	InParanoid
YNR054C	ESF2	ortholog	1	ABT1	InParanoid
YNR055C	HOL1	random	0		
YNR056C	BIO5	random	0		
YNR057C	BIO4	random	0		
YNR058W	BIO3	random	0		
YNR059W	MNT4	random	0		
YNR060W	FRE4	random	0		
YNR061C		random	0		
YNR062C		random	0		
YNR063W		random	0		
YNR064C		ortholog	1	ABHD6	InParanoid,OMA
YNR065C		random	0		
YNR066C		random	0		
YNR067C	DSE4	random	0		
YNR068C		random	0		
YNR069C	BSC5	random	0		
YNR070W	PDR18	random	0		
YNR071C		ortholog	1	GALM	InParanoid,OMA
YNR072W	HXT17	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YNR073C	MAN2	random	0		
YNR074C	AIF1	random	0		
YNR075C-A		random	0		
YNR075W	COS10	random	0		
YNR076W	PAU6	random	0		
YNR077C		random	0		
YOL001W	PHO80	random	0		
YOL002C	IZH2	ortholog	2	ADIPOR1,ADIPOR2	InParanoid,OMA
YOL003C	PFA4	random	0		
YOL004W	SIN3	ortholog	2	SIN3A,SIN3B	InParanoid,OMA
YOL005C	RPB11	ortholog	3	POLR2J,POLR2J2,POLR2J3	InParanoid,OMA
YOL006C	TOP1	ortholog	2	TOP1,TOP1MT	InParanoid,OMA
YOL007C	CSI2	random	0		
YOL008W	COQ10	ortholog	2	COQ10A,COQ10B	InParanoid
YOL009C	MDM12	random	0		
YOL010W	RCL1	ortholog	1	RCL1	InParanoid,OMA
YOL011W	PLB3	random	0		
YOL012C	HTZ1	ortholog	5	H2AC1,H2AC20,H2AC21,H2AZ1,H2AZ2	InParanoid,OMA,OrthoDB
YOL013C	HRD1	random	0		
YOL013W-A		random	0		
YOL013W-B		random	0		
YOL014W		random	0		
YOL015W	IRC10	random	0		
YOL016C	CMK2	ortholog	7	CAMK1,CAMK1D,CAMK1G,CAMK4,CAMKV,PNCK,PSKH1	InParanoid,OMA,OrthoDB
YOL017W	ESC8	random	0		
YOL018C	TLG2	ortholog	1	STX16	InParanoid,OMA
YOL019W	TOS7	random	0		
YOL019W-A		random	0		
YOL020W	TAT2	ortholog	2	SLC7A14,SLC7A4	InParanoid
YOL021C	DIS3	ortholog	1	DIS3	InParanoid,OMA
YOL022C	TSR4	random	0		
YOL023W	IFM1	ortholog	1	MTIF2	InParanoid,OMA
YOL024W		random	0		
YOL025W	LAG2	random	0		
YOL026C	MIM1	random	0		
YOL027C	MDM38	ortholog	1	LETM2	InParanoid
YOL028C	YAP7	random	0		
YOL029C		random	0		
YOL030W	GAS5	random	0		
YOL031C	SIL1	ortholog	1	SIL1	InParanoid
YOL032W	OPI10	ortholog	1	HIKESHI	InParanoid
YOL033W	MSE1	ortholog	1	EARS2	InParanoid,OMA
YOL034W	SMC5	ortholog	1	SMC5	InParanoid,OMA
YOL035C		random	0		
YOL036W		random	0		
YOL037C		random	0		
YOL038C-A		random	0		
YOL038W	PRE6	ortholog	5	PSMA2,PSMA4,PSMA5,PSMA7,PSMA8	InParanoid,OMA,OrthoDB
YOL039W	RPP2A	ortholog	1	RPLP2	OMA
YOL040C	RPS15	ortholog	1	RPS15	InParanoid,OMA
YOL041C	NOP12	ortholog	1	RBM34	InParanoid
YOL042W	NGL1	ortholog	1	CNOT6L	OMA
YOL043C	NTG2	ortholog	1	NTHL1	InParanoid
YOL044W	PEX15	random	0		
YOL045W	PSK2	random	0		
YOL046C		random	0		
YOL047C	LDS2	random	0		
YOL048C	RRT8	random	0		
YOL049W	GSH2	ortholog	1	GSS	InParanoid,OMA
YOL050C		random	0		
YOL051W	GAL11	random	0		
YOL052C	SPE2	ortholog	1	AMD1	InParanoid
YOL052C-A	DDR2	random	0		
YOL053W	AIM39	random	0		
YOL054W	PSH1	random	0		
YOL055C	THI20	random	0		
YOL056W	GPM3	random	0		
YOL057W		ortholog	1	DPP3	InParanoid,OMA
YOL058W	ARG1	ortholog	1	ASS1	InParanoid,OMA
YOL059W	GPD2	ortholog	2	GPD1,GPD1L	InParanoid,OMA
YOL060C	MAM3	random	0		
YOL061W	PRS5	random	0		
YOL062C	APM4	ortholog	3	AP1M1,AP1M2,AP2M1	OMA,OrthoDB
YOL063C	CRT10	random	0		
YOL064C	MET22	random	0		
YOL065C	INP54	random	0		
YOL066C	RIB2	ortholog	1	RPUSD2	InParanoid
YOL067C	RTG1	random	0		
YOL068C	HST1	random	0		
YOL069W	NUF2	ortholog	1	NUF2	InParanoid,OMA
YOL070C	NBA1	random	0		
YOL071W	SDH5	ortholog	1	SDHAF2	InParanoid,OMA
YOL072W	THP1	ortholog	4	ACAA1,ACAA2,ACAT1,ACAT2	OrthoDB
YOL073C	DSC2	random	0		
YOL075C		random	0		
YOL076W	MDM20	random	0		
YOL077C	BRX1	ortholog	1	BRIX1	InParanoid,OMA
YOL077W-A	ATP19	random	0		
YOL078W	AVO1	random	0		
YOL079W		random	0		
YOL080C	REX4	ortholog	2	AEN,ISG20L2	InParanoid
YOL081W	IRA2	random	0		
YOL082W	ATG19	random	0		
YOL083C-A		random	0		
YOL083W	ATG34	random	0		
YOL084W	PHM7	ortholog	1	TMEM63B	OMA
YOL085C		random	0		
YOL085W-A		random	0		
YOL086C	ADH1	random	0		
YOL086W-A	MHF1	random	0		
YOL087C	DUF1	random	0		
YOL088C	MPD2	random	0		
YOL089C	HAL9	random	0		
YOL090W	MSH2	ortholog	1	MSH2	InParanoid,OMA
YOL091W	SPO21	random	0		
YOL092W	YPQ1	ortholog	1	SLC66A1	InParanoid,OMA
YOL093W	TRM10	ortholog	2	TRMT10A,TRMT10B	InParanoid,OMA
YOL094C	RFC4	ortholog	1	RFC2	InParanoid,OMA
YOL095C	HMI1	random	0		
YOL096C	COQ3	ortholog	1	COQ3	InParanoid,OMA
YOL097C	WRS1	ortholog	1	WARS1	InParanoid,OMA
YOL097W-A		random	0		
YOL098C		random	0		
YOL099C		random	0		
YOL100W	PKH2	random	0		
YOL101C	IZH4	random	0		
YOL102C	TPT1	ortholog	1	TRPT1	InParanoid
YOL103W	ITR2	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	InParanoid,OMA
YOL103W-A	TY1A-OL	random	0		
YOL103W-B	TY1B-OL	random	0		
YOL104C	NDJ1	random	0		
YOL105C	WSC3	random	0		
YOL106W		random	0		
YOL107W		ortholog	1	TMEM115	InParanoid,OMA
YOL108C	INO4	random	0		
YOL109W	ZEO1	random	0		
YOL110W	SHR5	random	0		
YOL111C	MDY2	random	0		
YOL112W	MSB4	ortholog	1	GRTP1	InParanoid
YOL113W	SKM1	ortholog	2	PAK1,PAK2	OMA,OrthoDB
YOL114C		ortholog	1	MRPL58	InParanoid,OMA
YOL115W	PAP2	ortholog	2	TENT4A,TENT4B	InParanoid
YOL116W	MSN1	random	0		
YOL117W	RRI2	random	0		
YOL118C		random	0		
YOL119C	MCH4	ortholog	3	SLC16A12,SLC16A2,SLC16A7	OMA
YOL120C	RPL18A	ortholog	1	RPL18	InParanoid,OMA
YOL121C	RPS19A	ortholog	1	RPS19	InParanoid,OMA
YOL122C	SMF1	ortholog	2	SLC11A1,SLC11A2	InParanoid,OMA
YOL123W	HRP1	ortholog	1	RBM39	OMA
YOL124C	TRM11	ortholog	1	TRMT11	InParanoid,OMA
YOL125W	TRM13	ortholog	1	TRMT13	InParanoid,OMA
YOL126C	MDH2	ortholog	1	MDH2	OMA
YOL127W	RPL25	ortholog	1	RPL23A	InParanoid,OMA
YOL128C	YGK3	random	0		
YOL129W	VPS68	ortholog	2	TMEM50A,TMEM50B	InParanoid
YOL130W	ALR1	random	0		
YOL131W		random	0		
YOL132W	GAS4	random	0		
YOL133W	HRT1	ortholog	1	RBX1	InParanoid,OMA
YOL134C		random	0		
YOL135C	MED7	ortholog	1	MED7	InParanoid,OMA
YOL136C	PFK27	random	0		
YOL137W	BSC6	random	0		
YOL138C	RTC1	random	0		
YOL139C	CDC33	ortholog	2	EIF4E,EIF4E1B	InParanoid
YOL140W	ARG8	ortholog	3	AGXT2,ETNPPL,PHYKPL	OMA
YOL141W	PPM2	ortholog	1	LCMT2	InParanoid
YOL142W	RRP40	ortholog	1	EXOSC3	InParanoid,OMA
YOL143C	RIB4	random	0		
YOL144W	NOP8	random	0		
YOL145C	CTR9	ortholog	1	CTR9	InParanoid,OMA
YOL146W	PSF3	ortholog	1	GINS3	InParanoid
YOL147C	PEX11	ortholog	2	PEX11A,PEX11B	InParanoid
YOL148C	SPT20	random	0		
YOL149W	DCP1	random	0		
YOL150C		random	0		
YOL151W	GRE2	random	0		
YOL152W	FRE7	random	0		
YOL153C		random	0		
YOL154W	ZPS1	random	0		
YOL155C	HPF1	random	0		
YOL155W-A		random	0		
YOL156W	HXT11	ortholog	12	SLC2A1,SLC2A10,SLC2A12,SLC2A13,SLC2A2,SLC2A3,SLC2A4,SLC2A5,SLC2A6,SLC2A7,SLC2A8,SLC2A9	OMA
YOL157C	IMA2	ortholog	1	SLC3A1	InParanoid
YOL158C	ENB1	random	0		
YOL159C	CSS3	random	0		
YOL159C-A		random	0		
YOL160W		random	0		
YOL161C	PAU20	random	0		
YOL162W		random	0		
YOL163W		random	0		
YOL164W	BDS1	random	0		
YOL164W-A		random	0		
YOL165C	AAD15	random	0		
YOL166C		random	0		
YOL166W-A		random	0		
YOR001W	RRP6	ortholog	1	EXOSC10	InParanoid
YOR002W	ALG6	ortholog	1	ALG6	InParanoid,OMA
YOR003W	YSP3	random	0		
YOR004W	UTP23	ortholog	1	UTP23	InParanoid,OMA
YOR005C	DNL4	ortholog	1	LIG4	InParanoid,OMA
YOR006C	TSR3	ortholog	1	TSR3	InParanoid
YOR007C	SGT2	ortholog	3	SGTA,SGTB,TTC1	InParanoid,OMA
YOR008C	SLG1	random	0		
YOR008C-A		random	0		
YOR008W-B		random	0		
YOR009W	TIR4	ortholog	1	MUC21	OMA
YOR010C	TIR2	random	0		
YOR011W	AUS1	random	0		
YOR011W-A		random	0		
YOR012W		random	0		
YOR013W	IRC11	random	0		
YOR014W	RTS1	ortholog	5	PPP2R5A,PPP2R5B,PPP2R5C,PPP2R5D,PPP2R5E	InParanoid
YOR015W		random	0		
YOR016C	ERP4	ortholog	4	TMED1,TMED3,TMED5,TMED7	InParanoid,OMA
YOR017W	PET127	random	0		
YOR018W	ROD1	random	0		
YOR019W		random	0		
YOR020C	HSP10	ortholog	1	HSPE1	InParanoid,OMA
YOR020W-A		random	0		
YOR021C	SFM1	random	0		
YOR022C		random	0		
YOR023C	AHC1	random	0		
YOR024W		random	0		
YOR025W	HST3	random	0		
YOR026W	BUB3	ortholog	1	BUB3	OMA
YOR027W	STI1	ortholog	1	STIP1	InParanoid,OMA
YOR028C	CIN5	random	0		
YOR029W		random	0		
YOR030W	DFG16	random	0		
YOR031W	CRS5	random	0		
YOR032C	HMS1	ortholog	2	TFE3,TFEB	InParanoid
YOR032W-A		random	0		
YOR033C	EXO1	random	0		
YOR034C	AKR2	ortholog	2	ZDHHC13,ZDHHC17	InParanoid,OMA
YOR034C-A		random	0		
YOR035C	SHE4	random	0		
YOR036W	PEP12	ortholog	2	STX12,STX7	InParanoid,OMA
YOR037W	CYC2	random	0		
YOR038C	HIR2	ortholog	1	HIRA	InParanoid
YOR039W	CKB2	ortholog	1	CSNK2B	InParanoid,OMA
YOR040W	GLO4	ortholog	3	HAGH,HAGHL,PNKD	InParanoid,OMA
YOR041C		random	0		
YOR042W	CUE5	random	0		
YOR043W	WHI2	random	0		
YOR044W	IRC23	random	0		
YOR045W	TOM6	random	0		
YOR046C	DBP5	ortholog	3	DDX19A,DDX19B,DDX25	InParanoid,OMA
YOR047C	STD1	random	0		
YOR048C	RAT1	ortholog	1	XRN2	InParanoid,OMA
YOR049C	RSB1	random	0		
YOR050C		random	0		
YOR051C	ETT1	random	0		
YOR052C	TMC1	ortholog	4	FAM72B,FAM72C,FAM72D,UBC	OrthoDB
YOR053W		random	0		
YOR054C	VHS3	random	0		
YOR055W		random	0		
YOR056C	NOB1	ortholog	1	NOB1	InParanoid,OMA
YOR057W	SGT1	ortholog	1	SUGT1	InParanoid
YOR058C	ASE1	random	0		
YOR059C	LPL1	random	0		
YOR060C	SLD7	random	0		
YOR061W	CKA2	random	0		
YOR062C		random	0		
